filename,merchant,date MMDDYYYY,total,is_anomaly
r_01,animate,1/3/2026,99.75,0
r_02,Kenny Hills Bakers,12/21/2025,38.15,0
r_03,The Green Party,10/19/2025,49.8,0
r_04,The Food Merchant,5/21/2026,40,0
r_05,Jaya Grocer,5/13/2026,18.5,0
r_06,watsons,2/13/2026,26.55,0
r_07,don don donki,4/16/2026,115.4,0
r_08,Jaya Grocer,1/27/2026,6.5,0
r_09,Krispy Kreme Doughnuts,5/12/2026,25.35,0
r_10,KFC,12/20/2025,31.2,0
r_11,Shabu-Yo,12/26/2025,125.05,0
r_12,Dao,3/27/2026,11.85,0
r_13,Dynamic Power,2/19/2026,46.79,0
r_14,Dao,2/2/2026,11.85,0
r_15,Bath & Body Works,1/12/2026,67.8,0
